timestamp,latitude,longitude,elevation_m
2026-09-20 07:00:00,42.12999859110018,-71.05865610937819,35.68
2026-09-20 07:00:05,42.13013944005927,-71.05864130628143,38.2
2026-09-20 07:00:10,42.130270026855214,-71.05867684796138,34.82
2026-09-20 07:00:15,42.13040689876857,-71.05865609496854,35.34
2026-09-20 07:00:20,42.13052306671286,-71.05867342370878,35.26
2026-09-20 07:00:25,42.13062695094367,-71.05868587774196,37.14
2026-09-20 07:00:30,42.13076241519439,-71.05869539077815,34.29
2026-09-20 07:00:35,42.13089804463802,-71.05870588762284,35.51
2026-09-20 07:00:40,42.13103367412059,-71.0587260183022,35.19
2026-09-20 07:00:45,42.13115818096706,-71.05873899310717,35.07
2026-09-20 07:00:50,42.13130340703919,-71.05876194771716,35.6
2026-09-20 07:00:55,42.13142733392509,-71.05877032111124,35.39
2026-09-20 07:01:00,42.131559849152545,-71.05879949025083,33.85
2026-09-20 07:01:05,42.13169340570125,-71.05881118153322,34.16
2026-09-20 07:01:10,42.13183799621939,-71.05884113264419,32.3
2026-09-20 07:01:15,42.13196011640374,-71.0589127707967,33.66
2026-09-20 07:01:20,42.132077689030986,-71.05892442012012,32.72
2026-09-20 07:01:25,42.13218526650593,-71.05898453807481,32.99
2026-09-20 07:01:30,42.132324010838325,-71.05901810640775,31.56
2026-09-20 07:01:35,42.132449608528894,-71.05907559243812,33.0
2026-09-20 07:01:40,42.13257430162394,-71.05912124912439,31.09
2026-09-20 07:01:45,42.13272588293409,-71.05919477043899,32.34
2026-09-20 07:01:50,42.132846560194054,-71.05925240473202,31.01
2026-09-20 07:01:55,42.13294859528448,-71.0593254138489,31.08
2026-09-20 07:02:00,42.13306086031639,-71.05937507564238,32.45
2026-09-20 07:02:05,42.13316334562812,-71.05944377045141,31.77
2026-09-20 07:02:10,42.13327036310757,-71.05950809207133,31.99
2026-09-20 07:02:15,42.13337565866067,-71.05961933325158,32.09
2026-09-20 07:02:20,42.13347729595976,-71.05970355736899,30.0
2026-09-20 07:02:25,42.13356863964626,-71.05978330231206,31.6
2026-09-20 07:02:30,42.13368976604227,-71.0598682716671,29.02
2026-09-20 07:02:35,42.133795334027496,-71.05994522865795,30.57
2026-09-20 07:02:40,42.13389343325728,-71.06004358845374,29.38
2026-09-20 07:02:45,42.13399996544364,-71.06013844952453,28.83
2026-09-20 07:02:50,42.134101443866015,-71.06021952131697,29.87
2026-09-20 07:02:55,42.1341987846087,-71.06035228549464,29.94
2026-09-20 07:03:00,42.13429833893627,-71.06044639332818,29.74
2026-09-20 07:03:05,42.134389896625365,-71.06055589299574,29.0
2026-09-20 07:03:10,42.13448491904524,-71.06067581110331,28.77
2026-09-20 07:03:15,42.13457856337626,-71.06078001846524,28.92
2026-09-20 07:03:20,42.134663660920964,-71.06087356763085,28.6
2026-09-20 07:03:25,42.13474236293593,-71.0609718022367,28.64
2026-09-20 07:03:30,42.13483721083753,-71.06108873404195,28.24
2026-09-20 07:03:35,42.13490838320243,-71.0611931238413,28.63
2026-09-20 07:03:40,42.134986293306014,-71.06129944632487,26.54
2026-09-20 07:03:45,42.135061944127536,-71.06142116552155,27.63
2026-09-20 07:03:50,42.135124229285594,-71.0615532297273,26.54
2026-09-20 07:03:55,42.135181846771225,-71.06168610818212,27.79
2026-09-20 07:04:00,42.13524166541742,-71.06179954299677,28.81
2026-09-20 07:04:05,42.1352973844188,-71.06192704827873,27.06
2026-09-20 07:04:10,42.13534021510329,-71.06207032952958,27.49
2026-09-20 07:04:15,42.13538888631128,-71.0622241080816,27.95
2026-09-20 07:04:20,42.13544454538513,-71.06234329190218,25.67
2026-09-20 07:04:25,42.13550803330381,-71.06248339914326,26.89
2026-09-20 07:04:30,42.13556121467834,-71.06261217344527,27.6
2026-09-20 07:04:35,42.13557821848144,-71.06272908821191,25.0
2026-09-20 07:04:40,42.13562669622675,-71.06288341890053,26.56
2026-09-20 07:04:45,42.1356596362757,-71.06302069468,28.25
2026-09-20 07:04:50,42.135700414029145,-71.06316067164688,28.22
2026-09-20 07:04:55,42.13573336519497,-71.06329363375204,27.77
2026-09-20 07:05:00,42.13576152780977,-71.06341510168365,28.25
2026-09-20 07:05:05,42.135787733339306,-71.06357392161966,27.79
2026-09-20 07:05:10,42.13581185532192,-71.06370626764239,28.16
2026-09-20 07:05:15,42.13584750156204,-71.06383258140951,27.56
2026-09-20 07:05:20,42.13586576084107,-71.06397675902188,28.02
2026-09-20 07:05:25,42.13589275533066,-71.06412065136107,27.54
2026-09-20 07:05:30,42.13591523998578,-71.06425695211522,29.19
2026-09-20 07:05:35,42.135931861997435,-71.06439457220561,29.54
2026-09-20 07:05:40,42.135919537630215,-71.06452899899021,29.58
2026-09-20 07:05:45,42.13593495438227,-71.06466385023388,28.32
2026-09-20 07:05:50,42.135930723192345,-71.06482077440857,28.05
2026-09-20 07:05:55,42.13593592683438,-71.06494953404486,30.02
2026-09-20 07:06:00,42.13592027989185,-71.06507568094446,29.62
2026-09-20 07:06:05,42.135899402231544,-71.06521565569915,29.64
2026-09-20 07:06:10,42.135909004289324,-71.06537936805752,29.08
2026-09-20 07:06:15,42.13588459176794,-71.06552308555484,30.14
2026-09-20 07:06:20,42.135879471477544,-71.06566200827177,29.14
2026-09-20 07:06:25,42.13586051999234,-71.06581958292045,30.74
2026-09-20 07:06:30,42.135832924075714,-71.06596543659136,31.57
2026-09-20 07:06:35,42.1358063663235,-71.06612566402978,32.0
2026-09-20 07:06:40,42.13576359364128,-71.06625644481026,31.5
2026-09-20 07:06:45,42.13573153907162,-71.06639278294776,30.07
2026-09-20 07:06:50,42.13568528243453,-71.06655416318512,31.58
2026-09-20 07:06:55,42.135643427678545,-71.06668616252556,33.38
2026-09-20 07:07:00,42.135612697534384,-71.06682303311315,31.23
2026-09-20 07:07:05,42.135572033326866,-71.06695070878047,32.12
2026-09-20 07:07:10,42.13551018378409,-71.06709025247673,33.55
2026-09-20 07:07:15,42.13547024430392,-71.06723448988896,33.17
2026-09-20 07:07:20,42.13541845703197,-71.0673770666272,34.91
2026-09-20 07:07:25,42.13535827176823,-71.06751503283952,32.59
2026-09-20 07:07:30,42.135309018515926,-71.06764369441612,32.64
2026-09-20 07:07:35,42.13524741522591,-71.06776909133588,34.66
2026-09-20 07:07:40,42.13517259728443,-71.06789783436976,32.97
2026-09-20 07:07:45,42.13512705357917,-71.068028345818,34.01
2026-09-20 07:07:50,42.135059188553605,-71.06815621713413,34.35
2026-09-20 07:07:55,42.13498809608196,-71.06824161334455,35.47
2026-09-20 07:08:00,42.134911064312824,-71.06837205411908,35.36
2026-09-20 07:08:05,42.13484833042026,-71.06849766049515,35.46
2026-09-20 07:08:10,42.13476511628804,-71.0685664443691,34.99
2026-09-20 07:08:15,42.1346687078059,-71.06867430571445,36.49
2026-09-20 07:08:20,42.13457910894247,-71.06880589181074,38.94
2026-09-20 07:08:25,42.13450841687545,-71.06890372951845,36.47
2026-09-20 07:08:30,42.13443021678215,-71.06902449060503,36.19
2026-09-20 07:08:35,42.13433828251377,-71.06911715156328,35.25
2026-09-20 07:08:40,42.134261395948755,-71.06922359908208,35.95
2026-09-20 07:08:45,42.13417575442115,-71.06933106364825,36.45
2026-09-20 07:08:50,42.134077286438384,-71.06940699050826,36.35
2026-09-20 07:08:55,42.13397784255647,-71.06949544733043,36.9
2026-09-20 07:09:00,42.133881647779496,-71.06957570332489,38.47
2026-09-20 07:09:05,42.133771223133756,-71.06966119064268,38.16
2026-09-20 07:09:10,42.133667760265155,-71.06975673288159,37.15
2026-09-20 07:09:15,42.13356567765734,-71.06983467061005,36.41
2026-09-20 07:09:20,42.13344069392478,-71.06990149444543,38.53
